4782|1|83|0.027160|0.932584|1.239121
540|1|82|0.026832|0.656000|0.871624
2483|1|60|0.019634|0.697674|0.926997
1729|1|67|0.021924|0.905405|1.203008
1277|1|54|0.017670|0.870968|1.157251
726|1|77|0.025196|0.712963|0.947311
709|1|62|0.020288|0.729412|0.969166
5583|99|63|0.020615|0.630000|4.467007
3339|1|66|0.021597|0.916667|1.217971
1821|1|70|0.022906|0.686275|0.911850
1108|1|222|0.072644|0.840909|1.117312
1684|1|73|0.023887|0.752577|0.999946
710|1|59|0.019306|0.830986|1.104127
8429|1|60|0.019634|0.952381|1.265424
748|1|80|0.026178|0.650407|0.864192
2671|1|52|0.017016|0.866667|1.151536
1190|1|62|0.020288|0.837838|1.113231
1175|1|62|0.020288|0.815789|1.083936
1089|1|52|0.017016|0.866667|1.151536
1997|1|59|0.019306|0.756410|1.005039
357|1|134|0.043848|0.720430|0.957232
1779|1|63|0.020615|0.900000|1.195826
1086|1|131|0.042866|0.808642|1.074439
7485|1|53|0.017343|0.646341|0.858791
1774|1961|54|0.017670|0.658537|19.166551
806|1|76|0.024869|0.775510|1.030417
2475|1|83|0.027160|0.805825|1.070696
100|1|90|0.029450|0.918367|1.220231
1568|1|57|0.018652|0.750000|0.996522
2680|1|69|0.022579|0.862500|1.146000
1228|1|57|0.018652|0.863636|1.147510
5726|1749|61|0.019961|0.762500|7.421019
1774|6245|51|0.016688|0.621951|21.846930
777|1|82|0.026832|0.828283|1.100536
1821|1749|62|0.020288|0.607843|5.915824
6740|1|59|0.019306|0.786667|1.045241
138|1|51|0.016688|0.980769|1.303144
2962|1|54|0.017670|0.805970|1.070889
1150|1|327|0.107003|0.760465|1.010427
142|1|123|0.040249|0.814570|1.082315
2934|1|76|0.024869|0.690909|0.918008
1195|1|75|0.024542|0.742574|0.986655
430|1|116|0.037958|0.768212|1.020720
734|1|55|0.017997|0.873016|1.159972
1950|1|78|0.025524|0.772277|1.026121
4782|7446|54|0.017670|0.606742|33.712768
7446|4782|54|0.017670|0.981818|33.712768
4782|4355|65|0.021270|0.730337|18.445538
1322|1|92|0.030105|0.958333|1.273333
2353|1|51|0.016688|0.809524|1.075611
735|1|60|0.019634|0.895522|1.189877
411|1|170|0.055628|0.691057|0.918204
5726|1271|66|0.021597|0.825000|11.305830
490|1|55|0.017997|0.763889|1.014976
2114|1150|64|0.020942|0.666667|4.737984
1391|1|57|0.018652|0.826087|1.097618
1701|15|52|0.017016|0.866667|5.054453
1774|14|57|0.018652|0.695122|9.196072
2069|1|63|0.020615|0.707865|0.940537
